Date,ETH_Close,ETH_Volume,Log return ETH,Number of sales in all segments,Active market wallets in all segments,Average USD,Sales USD
2022-06-18,993.63678,21655406608,-0.03880978119,34838,27494,993.69,34618057.8
2022-06-19,1127.656494,21795481981,0.05494916651,29574,21786,1274.03,37678016.47
2022-06-20,1127.642456,19739691429,-0.00000540649029,25497,20309,1420.54,36219535.59
2022-06-21,1124.824585,15632089439,-0.001086618754,22640,17860,1493.99,33823995.4
2022-06-22,1051.421875,15010593493,-0.0293077917,27258,20195,1305.97,35598207.08
2022-06-23,1143.386719,14657862919,0.03641613502,30466,23062,978.06,29797464.7
2022-06-24,1226.844727,16981552654,0.03059645728,29126,22275,1192.85,34743088.12
2022-06-25,1243.446899,12481946184,0.00583764295,34793,22444,997.91,34720197.39
2022-06-26,1199.831665,12096607824,-0.01550692429,22624,18204,1590.92,35992914.77
2022-06-27,1193.680664,12492225250,-0.002232160362,22748,18112,1429.67,32522201.15
2022-06-28,1144.579224,14023205651,-0.01824230046,24607,19109,1577.92,38827872.88
2022-06-29,1098.943848,15386286815,-0.01767035635,43996,27672,775.33,34111386.23
2022-06-30,1067.298828,16350755497,-0.01268946961,68736,39135,525.08,36091728.56
2022-07-01,1059.767334,17499453625,-0.003075503727,45884,30947,721.63,33111314.16
2022-07-02,1066.512817,9935603640,0.002755550223,43431,28287,619.51,26905811.67
2022-07-03,1073.766968,8557248150,0.002943960725,56247,27318,638.55,35916486.48
2022-07-04,1151.059082,13670889311,0.03018757608,63811,29479,483.47,30850935.56
2022-07-05,1134.541016,16195518291,-0.006277414688,51615,28375,564.39,29130930.76
2022-07-06,1186.973999,15373536703,0.01962100457,49605,29551,634.17,31457853.78
2022-07-07,1237.593384,14230795894,0.0181367733,45547,29379,772.4,35180423.45
2022-07-08,1222.506226,16315929082,-0.005326899437,43114,27826,746.56,32186973.43
2022-07-09,1216.978271,8821353104,-0.00196825556,40788,27305,844.63,34450597.42
2022-07-10,1168.401611,10984558039,-0.01769067691,37663,25822,806.73,30383730.83
2022-07-11,1097.236572,12064180410,-0.02729187246,41240,25568,745.25,30734074.15
2022-07-12,1038.19165,12583282453,-0.02402274305,36842,24477,897.62,33069963.41
2022-07-13,1113.587158,18302588147,0.03044668237,42764,29964,845.99,36177732.61
2022-07-14,1191.526245,16688640823,0.02937939875,39555,30327,755.45,29881851.32
2022-07-15,1233.12915,17411448225,0.01490495146,33000,23648,1149.24,37924795.73
2022-07-16,1352.626465,18364013796,0.04016931624,39368,23583,959.6,37777358.37
2022-07-17,1338.635742,16079711737,-0.004515463798,35664,21543,1145.83,40864777.86
2022-07-18,1578.717896,27440420623,0.07164211544,34861,22593,1114.66,38858214.64
2022-07-19,1542.97522,27753529276,-0.009945580662,31435,22110,938.05,29487593.67
2022-07-20,1520.200684,22942708340,-0.006458027798,34856,24511,1047.66,36517386.99
2022-07-21,1576.749512,20009556587,0.01586178165,44866,29789,868.79,38979282.93
2022-07-22,1537.405151,18926100582,-0.01097437343,43007,27814,782.53,33654435.99
2022-07-23,1549.297485,14998811383,0.003346484062,35544,24258,927.64,32971891
2022-07-24,1599.476685,17217849557,0.01384309803,45541,23770,766.82,34921749.12
2022-07-25,1445.383423,20585056021,-0.04399484439,41221,29059,847.19,34921826.03
2022-07-26,1441.806763,18238563509,-0.001076011205,34410,25645,1021.12,35136697.49
2022-07-27,1636.232666,23007524016,0.05493800042,36812,23590,948.45,34914275.78
2022-07-28,1725.46814,27231399966,0.02306188591,30916,22148,1183.53,36589862.18
2022-07-29,1727.406982,23249531113,0.000487725991,27556,18987,1376.01,37917203.15
2022-07-30,1695.969482,15576977870,-0.007976637528,30730,18888,1090.39,33507634.32
2022-07-31,1681.517334,14200735370,-0.003716684492,34282,20071,910,31196674.55
2022-08-01,1635.195801,16191371176,-0.01213158538,30285,19501,1212.54,36721893.81
2022-08-02,1632.945435,20426082309,-0.0005980902415,27993,18101,1300.45,36403558.55
2022-08-03,1618.874512,16786218830,-0.003758487526,29308,19228,1281.24,37550501.89
2022-08-04,1608.205811,14467440626,-0.002871558431,33344,19785,988.43,32958148.88
2022-08-05,1732.254639,18546491876,0.03227010602,32584,20158,1338.65,43618687.88
2022-08-06,1691.658081,11757911705,-0.01029914536,42149,25343,874.49,36858768.62
2022-08-07,1699.35083,10252090340,0.001970460273,32972,20752,1091.85,36000345.06
2022-08-08,1775.516113,16841424404,0.01904156995,34609,21638,1037.23,35897557.01
2022-08-09,1703.025024,16368619692,-0.01810358846,31677,21326,1218.26,38590968.43
2022-08-10,1851.742676,23512477984,0.03635960614,39078,23742,1054.3,41199761.34
2022-08-11,1881.224121,23826986482,0.006859903012,34657,21043,1143.3,39623509.44
2022-08-12,1957.24646,17168141904,0.01720497762,38379,22468,1010.7,38789718.7
2022-08-13,1981.336548,16038975216,0.00531273442,43553,23502,790.56,34431248.22
2022-08-14,1936.802002,14062754456,-0.009873025317,38610,23190,849.83,32812059.43
2022-08-15,1904.228149,20349931313,-0.007366244579,36577,21615,892.21,32634256.85
2022-08-16,1878.139404,15637578930,-0.005991156342,37781,22528,667.54,25220217.28
2022-08-17,1832.999634,20308508124,-0.01056544618,38173,23847,747.18,28522145.91
2022-08-18,1847.007813,14999352229,0.003306354301,49637,23545,616.55,30603685.8
2022-08-19,1612.987305,25906358731,-0.05883778325,41796,23033,574.98,24031833.25
2022-08-20,1577.003784,18334580263,-0.009798213878,41604,22235,547.88,22794021.93
2022-08-21,1619.31897,15849221752,0.01149966817,43928,23179,565.57,24844499.59
2022-08-22,1622.505859,18557078599,0.0008538701663,45013,23042,541.01,24352294.05
